
2024/11/10 (02:14:54) | ===> btop++ v.1.4.0
2024/11/10 (02:14:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (03:34:07) | ===> btop++ v.1.4.0
2024/11/10 (03:34:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (14:59:35) | ===> btop++ v.1.4.0
2024/11/10 (14:59:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (18:17:16) | ===> btop++ v.1.4.0
2024/11/12 (18:17:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (19:10:56) | ===> btop++ v.1.4.0
2024/11/12 (19:10:56) | WARNING: Intel GPU: Failed to initialize PMU
